"Source:","C:\Users\Anton Gale\Documents\exerion\exerion.kicad_sch"
"Date:","9/8/2022 7:40:35 PM"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","248"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","20MHZ*1","Crystal","Device:Crystal","","~"
"","","C1","100pF","Device:C_Small","","~"
"","","C2","100pF","Device:C_Small","","~"
"","","C3","?u","Device:C_Polarized_Small","","~"
"","","C4","2.2u","Device:C_Polarized_Small","","~"
"","","C5","0.1u","Device:C","","~"
"","","C6","10U","Device:C_Polarized_Small","","~"
"","","C7",".1u X 8","Device:C_Small","","~"
"","","C8",".1u X 6","Device:C_Small","","~"
"","","C9",".1u","Device:C_Small","","~"
"","","C10",".1u","Device:C_Small","","~"
"","","C11",".1u","Device:C_Small","","~"
"","","C12",".1u","Device:C_Small","","~"
"","","C13",".1u","Device:C_Small","","~"
"","","C14",".1u","Device:C_Small","","~"
"","","C15","0.1u","Device:C_Small","","~"
"","","C16","0.1u","Device:C_Small","","~"
"","","C17","0.1u","Device:C_Small","","~"
"","","C18","0.1u","Device:C_Small","","~"
"","","C19","0.1u","Device:C_Small","","~"
"","","C20","0.1u","Device:C_Small","","~"
"","","C21","10U","Device:C_Polarized_Small","","~"
"","","C22","0.001u","Device:C_Small","","~"
"","","C23","0.001u","Device:C_Small","","~"
"","","D1","D","Device:D","","~"
"","","D2","D","Device:D","","~"
"","","D3","D","Device:D","","~"
"","","D4","D","Device:D","","~"
"","","R1","330","Device:R_US","","~"
"","","R2","330","Device:R_US","","~"
"","","R3","10K","Device:R_US","","~"
"","","R4","1K","Device:R_US","","~"
"","","R5","220","Device:R_US","","~"
"","","R6","150","Device:R_US","","~"
"","","R7","R_US","Device:R_US","","~"
"","","R8","150","Device:R_US","","~"
"","","R9","1K","Device:R_US","","~"
"","","R10","1K","Device:R_US","","~"
"","","R11","1K","Device:R_US","","~"
"","","R12","1K","Device:R_US","","~"
"","","R13","470","Device:R_US","","~"
"","","R14","470","Device:R_US","","~"
"","","R15","470","Device:R_US","","~"
"","","R16","220","Device:R_US","","~"
"","","R17","220","Device:R_US","","~"
"","","R18","220","Device:R_US","","~"
"","","R19","10K","Device:R_US","","~"
"","","R20","1K","Device:R_US","","~"
"","","R21","220","Device:R_US","","~"
"","","R22","220","Device:R_US","","~"
"","","R23","220","Device:R_US","","~"
"","","R24","220","Device:R_US","","~"
"","","R25","220","Device:R_US","","~"
"","","R26","220","Device:R_US","","~"
"","","R27","220","Device:R_US","","~"
"","","R28","220","Device:R_US","","~"
"","","R29","220","Device:R_US","","~"
"","","R30","220","Device:R_US","","~"
"","","R31","220","Device:R_US","","~"
"","","R32","220","Device:R_US","","~"
"","","R33","220","Device:R_US","","~"
"","","R34","220","Device:R_US","","~"
"","","R35","10K","Device:R_US","","~"
"","","R36","1K","Device:R_US","","~"
"","","RN1","620","Device:R_Network08_US","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"","","RN2","1K","Device:R_Network08_US","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"","","RN3","1K","Device:R_Network08_US","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"","","SW1L1","DIPSW1","Switch:SW_DIP_x08","","~"
"","","SW2L1","DIPSW2","Switch:SW_DIP_x03","","~"
"","","U1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U1,2F1","AY-3-8910","arcade:AY-3-8910","",""
"","","U1,2V1","AY-3-8910","arcade:AY-3-8910","",""
"","","U1B1","74LS368","jt74:74LS368","","http://www.ti.com/lit/gpn/sn74LS368"
"","","U1C_1","74LS14","74xx:74LS14","","http://www.ti.com/lit/gpn/sn74LS14"
"","","U1D_1","74LS74","jt74:74LS74","","74xx/74hc_hct74.pdf"
"","","U1E1","N82S123N","arcade:N82S123N","",""
"","","U2","74LS04","jt74:74LS04","","http://www.ti.com/lit/gpn/sn74LS04"
"","","U2A_1","74LS107","74xx:74LS107","","http://www.ti.com/lit/gpn/sn74LS107"
"","","U2B_1","74LS107","74xx:74LS107","","http://www.ti.com/lit/gpn/sn74LS107"
"","","U2C1","74LS367","jt74:74LS367","","http://www.ti.com/lit/gpn/sn74LS367"
"","","U2D1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U2E1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U2F_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U2H1","74LS257","jt74:74LS257","","http://www.ti.com/lit/gpn/sn74LS257"
"","","U2J1","74LS257","jt74:74LS257","","http://www.ti.com/lit/gpn/sn74LS257"
"","","U2K1","74LS367","jt74:74LS367","","http://www.ti.com/lit/gpn/sn74LS367"
"","","U2M1","74LS245","jt74:74LS245","","http://www.ti.com/lit/gpn/sn74LS245"
"","","U2N1","74LS245","jt74:74LS245","","http://www.ti.com/lit/gpn/sn74LS245"
"","","U2R1","74LS374","74xx:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U2S1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U3","74LS245","jt74:74LS245","","http://www.ti.com/lit/gpn/sn74LS245"
"","","U3A1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U3B1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U3C1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U3D1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U3D2","6301","arcade:82S126-9","",""
"","","U3E1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U3F1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U3H1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U3J1","74LS191","jt74:74LS191","","http://www.ti.com/lit/gpn/sn74LS191"
"","","U3K1","74LS374","jt74:74LS374","","http://www.ti.com/lit/gpn/sn74LS374"
"","","U3M1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U3P1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U3R_1","74LS139","jt74:74LS139","","http://www.ti.com/lit/gpn/sn74LS139"
"","","U3S1","74LS02","74xx:74LS02","","http://www.ti.com/lit/gpn/sn74ls02"
"","","U3S_1","74LS02","74xx:74LS02","","http://www.ti.com/lit/gpn/sn74ls02"
"","","U3T1","74LS138","jt74:74LS138","","http://www.ti.com/lit/gpn/sn74LS138"
"","","U3V1","ICX","arcade:ICX","",""
"","","U4","74LS14","74xx:74LS14","","http://www.ti.com/lit/gpn/sn74LS14"
"","","U4B1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4D1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4E1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4H1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4KJ1","6301","arcade:82S126-9","",""
"","","U4LK_1","74LS32","jt74:74LS32","","http://www.ti.com/lit/gpn/sn74LS32"
"","","U4ML1","74LS153","jt74:74LS153","","http://www.ti.com/lit/gpn/sn74LS153"
"","","U4N_1","HM6116P-3","arcade:HM6116P-3","",""
"","","U4P1","27128","Memory_EPROM:27128","Package_DIP:DIP-28_W15.24mm","http://eeshop.unl.edu/pdf/27128.pdf"
"","","U4S1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4T1","2764","Memory_EPROM:2764","Package_DIP:DIP-28_W15.24mm","https://downloads.reactivemicro.com/Electronics/ROM/2764%20EPROM.pdf"
"","","U4V1","HM6116P-3","arcade:HM6116P-3","",""
